processed,original
"نظام","نظام"
"ربابهبیگم","ربابه بيگم"
"خدیجهسادات","خديجه سادات"
"آواسادات","آواسادات"
"سیدمحمدتقی","سيد محمد تقي"
"سیدحسامالدین","سيدحسام الدين"
"فرجاد","فرجاد"
"كافیه","كافيه"
"محدحسین","محد حسين"
"بولود","بولود"
"انیسه","انيسه"
"ایزابل","ايزابل"
"رایحه","رايحه"
"سیدمحمدمعین","سيدمحمدمعين"
"رجبعلی","رجبعلي"
"سیدعارف","سيدعارف"
"پاتریسا","پاتريسا"
"حیدرمحمدعلیمحمدرضا","حيدر محمد علي محمد رضا"
"شادناز","شادناز"
"زكیه","زكيه"
"سیلویا","سيلويا"
"عبدالوهاب","عبدالوهاب"
"عبدلاحد","عبدل احد"
"سیدهساجده","سيده ساجده"
"میرزاآقا","ميرزاآقا"
"میرمحمدحسین","ميرمحمدحسين"
"نازنیننگار","نازنين نگار"
"خزائل","خزائل"
"نژلا","نژلا"
"سیدهزینت","سيده زينت"
"نرگسخانم","نرگس خانم"
"سیدمحسن","سيدمحسن"
"علیمراد","علي مراد"
"هاجرالسادات","هاجرالسادات"
"اطلسی","اطلسي"
"شكوفه","شكوفه"
"ماندانا","ماندانا"
"دارین","دارين"
"مژده","مژده"
"افراح","افراح"
"مریمبگم","مريم بگم"
"سیمونفلیپ","سيمون فليپ"
"راهخدا","راه خدا"
"لیلاسادات","ليلاسادات"
"میرابوالحسن","ميرابوالحسن"
"ارازولی","ارازولي"
"همتا","همتا"
"رامین","رامين"
"سیدهلعیا","سيده لعيا"
"جاودان","جاودان"
"اندره","اندره"
"فرنازسادات","فرناز سادات"
"فداحسین","فداحسين"
"گلریز","گلريز"
"احمدحسین","احمدحسين"
"فلكناز","فلك ناز"
"امیررضا","اميررضا"
"امیرصالح","اميرصالح"
"ایداسادات","ايداسادات"
"سامرند","سامرند"
"محمدشریف","محمدشريف"
"امیرساسان","اميرساسان"
"کوچک","کوچک"
"ملكی","ملكي"
"آراد","آراد"
"مهاذین","مه اذين"
"شارا","شارا"
"رشنواز","رشنواز"
"روحاله","روح اله"
"ثمرخ","ثمرخ"
"امیرصادق","امير صادق"
"سیدهدریا","سيده دريا"
"علیاكبر","علي اكبر"
"مرید","مريد"
"محترم","محترم"
"گلخندان","گل خندان"
"هلیاسادات","هلياسادات"
"طراوتالسادات","طراوت السادات"
"فابرت","فابرت"
"محمدکریم","محمد کريم"
"محمدجلالالدین","محمدجلال الدين"
"ثمیلا","ثميلا"
"سیدمحمدامیر","سيد محمد امير"
"میرزامحمد","ميرزامحمد"
"مرواید","مروايد"
"میرارشان","ميرارشان"
"حاجیقلی","حاجيقلي"
"ارفع","ارفع"
"تاجطلا","تاج طلا"
"سیدهرضیه","سيده رضيه"
"بیبیمنصوره","بي بي منصوره"
"كمالالدین","كمال الدين"
"سیداسمعیل","سيداسمعيل"
"سیدهنسیم","سيده نسيم"
"اریادخت","اريادخت"
"مهساوجیهه","مهساوجيهه"
"پوپک","پوپک"
"مجتبی","مجتبي"
"اذرنوش","اذرنوش"
"پرسته","پرسته"
"آمنهخواتون","آمنه خواتون"
"فتحعلی","فتحعلي"
"زیارتعلی","زيارتعلي"
"کامیبز","کاميبز"
"عزتالهسالار","عزت اله سالار"
"عبدالحمید","عبد الحميد"
"طالب","طالب"
"گلافروز","گل افروز"
"باران","باران"
"آهوجان","آهوجان"
"سیدمحمدساجد","سيدمحمدساجد"
"سیدعنایت","سيدعنايت"
"محمدفؤاد","محمدفؤاد"
"سیداتین","سيداتين"
"عبدالعتیق","عبدالعتيق"
"بدریالسادات","بدري السادات"
"سیدهمبینا","سيده مبينا"
"سیدرسول","سيد رسول"
"اکرامی","اکرامي"
"سیدناصح","سيدناصح"
"سیده","سيده"
"والی","والي"
